(0, 0, 0) = 0.000000000000
(0, 0, 1) = 0.000000000000
(0, 0, 2) = 0.000000000000
(0, 0, 3) = 0.000000000000
(0, 0, 4) = 0.000000000000
(0, 0, 5) = 0.000000000000
(0, 0, 6) = 0.000000000000
(0, 0, 7) = 0.000000000000
(0, 0, 8) = 0.000000000000
(0, 1, 0) = 0.000000000000
(0, 1, 1) = 0.000000000000
(0, 1, 2) = 0.000000000000
(0, 1, 3) = 0.000000000000
(0, 1, 4) = 0.000000000000
(0, 1, 5) = 0.000000000000
(0, 1, 6) = 0.000000000000
(0, 1, 7) = 0.000000000000
(0, 1, 8) = 0.000000000000
(0, 2, 0) = 0.000000000000
(0, 2, 1) = 0.000000000000
(0, 2, 2) = 0.000000000000
(0, 2, 3) = 0.000000000000
(0, 2, 4) = 0.000000000000
(0, 2, 5) = 0.000000000000
(0, 2, 6) = 0.000000000000
(0, 2, 7) = 0.000000000000
(0, 2, 8) = 0.000000000000
(0, 3, 0) = 0.000000000000
(0, 3, 1) = 0.000000000000
(0, 3, 2) = 0.000000000000
(0, 3, 3) = 0.000000000000
(0, 3, 4) = 0.000000000000
(0, 3, 5) = 0.000000000000
(0, 3, 6) = 0.000000000000
(0, 3, 7) = 0.000000000000
(0, 3, 8) = 0.000000000000
(0, 4, 0) = 0.000000000000
(0, 4, 1) = 0.000000000000
(0, 4, 2) = 0.000000000000
(0, 4, 3) = 0.000000000000
(0, 4, 4) = 0.000000000000
(0, 4, 5) = 0.000000000000
(0, 4, 6) = 0.000000000000
(0, 4, 7) = 0.000000000000
(0, 4, 8) = 0.000000000000
(0, 5, 0) = 0.000000000000
(0, 5, 1) = 0.000000000000
(0, 5, 2) = 0.000000000000
(0, 5, 3) = 0.000000000000
(0, 5, 4) = 0.000000000000
(0, 5, 5) = 0.000000000000
(0, 5, 6) = 0.000000000000
(0, 5, 7) = 0.000000000000
(0, 5, 8) = 0.000000000000
(0, 6, 0) = 0.000000000000
(0, 6, 1) = 0.000000000000
(0, 6, 2) = 0.000000000000
(0, 6, 3) = 0.000000000000
(0, 6, 4) = 0.000000000000
(0, 6, 5) = 0.000000000000
(0, 6, 6) = 0.000000000000
(0, 6, 7) = 0.000000000000
(0, 6, 8) = 0.000000000000
(0, 7, 0) = 0.000000000000
(0, 7, 1) = 0.000000000000
(0, 7, 2) = 0.000000000000
(0, 7, 3) = 0.000000000000
(0, 7, 4) = 0.000000000000
(0, 7, 5) = 0.000000000000
(0, 7, 6) = 0.000000000000
(0, 7, 7) = 0.000000000000
(0, 7, 8) = 0.000000000000
(0, 8, 0) = 0.000000000000
(0, 8, 1) = 0.000000000000
(0, 8, 2) = 0.000000000000
(0, 8, 3) = 0.000000000000
(0, 8, 4) = 0.000000000000
(0, 8, 5) = 0.000000000000
(0, 8, 6) = 0.000000000000
(0, 8, 7) = 0.000000000000
(0, 8, 8) = 0.000000000000
(1, 0, 0) = 0.000000000000
(1, 0, 1) = 0.000000000000
(1, 0, 2) = 0.000000000000
(1, 0, 3) = 0.000000000000
(1, 0, 4) = 0.000000000000
(1, 0, 5) = 0.000000000000
(1, 0, 6) = 0.000000000000
(1, 0, 7) = 0.000000000000
(1, 0, 8) = 0.000000000000
(1, 1, 0) = 0.000000000000
(1, 1, 1) = 0.000695070215
(1, 1, 2) = 0.001390140430
(1, 1, 3) = 0.001989337463
(1, 1, 4) = 0.002258118113
(1, 1, 5) = 0.001989337463
(1, 1, 6) = 0.001390140430
(1, 1, 7) = 0.000695070215
(1, 1, 8) = 0.000000000000
(1, 2, 0) = 0.000000000000
(1, 2, 1) = 0.001390140430
(1, 2, 2) = 0.002828217457
(1, 2, 3) = 0.004143883116
(1, 2, 4) = 0.004785016884
(1, 2, 5) = 0.004143883116
(1, 2, 6) = 0.002828217457
(1, 2, 7) = 0.001390140430
(1, 2, 8) = 0.000000000000
(1, 3, 0) = 0.000000000000
(1, 3, 1) = 0.001989337463
(1, 3, 2) = 0.004143883116
(1, 3, 3) = 0.006286429058
(1, 3, 4) = 0.007473813987
(1, 3, 5) = 0.006286429058
(1, 3, 6) = 0.004143883116
(1, 3, 7) = 0.001989337463
(1, 3, 8) = 0.000000000000
(1, 4, 0) = 0.000000000000
(1, 4, 1) = 0.002258118113
(1, 4, 2) = 0.004785016884
(1, 4, 3) = 0.007473813987
(1, 4, 4) = 0.009173114758
(1, 4, 5) = 0.007473813987
(1, 4, 6) = 0.004785016884
(1, 4, 7) = 0.002258118113
(1, 4, 8) = 0.000000000000
(1, 5, 0) = 0.000000000000
(1, 5, 1) = 0.001989337463
(1, 5, 2) = 0.004143883116
(1, 5, 3) = 0.006286429058
(1, 5, 4) = 0.007473813987
(1, 5, 5) = 0.006286429058
(1, 5, 6) = 0.004143883116
(1, 5, 7) = 0.001989337463
(1, 5, 8) = 0.000000000000
(1, 6, 0) = 0.000000000000
(1, 6, 1) = 0.001390140430
(1, 6, 2) = 0.002828217457
(1, 6, 3) = 0.004143883116
(1, 6, 4) = 0.004785016884
(1, 6, 5) = 0.004143883116
(1, 6, 6) = 0.002828217457
(1, 6, 7) = 0.001390140430
(1, 6, 8) = 0.000000000000
(1, 7, 0) = 0.000000000000
(1, 7, 1) = 0.000695070215
(1, 7, 2) = 0.001390140430
(1, 7, 3) = 0.001989337463
(1, 7, 4) = 0.002258118113
